disease_id,disease_name
8369_11422_9967_8368_15827_17828_1909_18440_17829,renal tubular acidosis
21113,respiratory failure
5391,restless legs syndrome
18713,retiform hemangioendothelioma
2303_6948_6951_2089_41093_1630_1633_2088,retinal artery occlusion
19101,retinal capillary malformation
24340,retinal neuroblastoma
2708,retinitis
8380_3075,retinoblastoma
3040,retrograde amnesia
5212,rhabdomyosarcoma (disease)
8383,rheumatoid arthritis
3014_4514,rhinitis
5520,rickets (disease)
827,salmonellosis
19338,sarcoidosis
5089,sarcoma
15254,schistosomiasis
5487,schizoaffective disorder
5090_13498_8414_10897_33312_10943_11552_14092_12054_11960_11280_11294_11295_11298_11307_11498_12879_13089_13506,schizophrenia
1265,schizophreniform disorder
19340,scleroderma (disease)
13433_18646_18647,sclerosing cholangitis
19365,scrub typhus
9412,scurvy
6962,sebaceous adenocarcinoma
6608_6609,seborrheic dermatitis
8420,seborrheic keratosis
3001,seminoma
43789,serum sickness
9549,severe early-childhood-onset retinal dystrophy
19345,shigellosis
9879,short stature due to growth hormone qualitative anomaly
18967,short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia
11382,sickle cell anemia
5961,sinusitis
20747_20748_8863,sitosterolemia
10029,situs inversus
5341_2529_2656_2939_2956_4091,skin carcinoma
5093,skin disease
24376,"sleep disorder, initiating and maintaining sleep"
8433,small cell lung carcinoma
956,small intestine cancer
1247,social phobia
20513,spermatocytic seminoma
16222,spindle cell hemangioma
5095_43377,spondyloarthropathy
7126_8468_24512_13192,"spondyloarthropathy, susceptibility to"
5968,sporotrichosis
10150_4958_5096_6082_500_514,squamous cell carcinoma
18513,squamous cell carcinoma of colon
18534,squamous cell carcinoma of liver and intrahepatic biliary tract
18352,squamous cell carcinoma of penis
16266,squamous cell carcinoma of the corpus uteri
24313,staphylococcal infection
18183_5970,staphylococcal pneumonia
5545,staphylococcus aureus infection
2125,status epilepticus
1270,stone in bladder diverticulum
5972,streptococcal pneumonia
20544,streptococcal toxic-shock syndrome
5098,stroke disorder
6981,subacute bacterial endocarditis
5099,subarachnoid hemorrhage (disease)
7079_2491_4938_2046_5367_5689_4456_5186,substance abuse/dependence
6988,sulfhemoglobinemia
1928,suppurative cholangitis
2206,sweat gland cancer
21072,sympathetic paraganglioma
15787_15788,symptomatic form of hemophilia in female carriers
2400,synovitis (disease)
7915,systemic lupus erythematosus (disease)
16586,systemic mastocytosis
5100,systemic sclerosis
10096,tardive dyskinesia (disease)
16848_8538,temporal arteritis
4855,tenosynovitis
5447,testicular cancer
10274_10108,testicular germ cell tumor
3669,testicular seminoma
18193_6448,testicular teratoma
5526,tetanus
8542,tetralogy of fallot
20543,"theca steroid-producing cell malignant tumor of ovary, not further specified"
19457,therapy related acute myeloid leukemia and myelodysplastic syndrome
8889,thromboangiitis obliterans
8554_13794_11173_5029_10301,thrombocythemia
10120_8555_14837_8556_30867_14536_12775_10743_2049_4680,thrombocytopenia
8559_8560_2305,thrombophilia
3393,thymus gland disease
2108,thyroid cancer
11653_14681_14682_8566_8567,"thyroid cancer, nonmedullary"
6996,thyroid crisis (disease)
12004_15075_5034_5075_24622_6467,thyroid gland carcinoma
6468,thyroid gland undifferentiated (anaplastic) carcinoma
4126,thyroiditis (disease)
10138,thyrotoxicosis
16468,toxin-mediated infectious botulism
5264,transient ischemic attack (disease)
6474,transitional cell carcinoma
5992,trichinosis
5996,trichuriasis
11514,tricuspid atresia (disease)
8599,trigeminal neuralgia
1732,trigonitis
18068,trisomy 13
940,trypanosomiasis
8612_13199_19341_1734,tuberous sclerosis
11927,tufted angioma (disease)
18077,tularemia
11123_12919_7454_5147_10861_10862_10863_10864_10950_11016_11033_11068_11167_11168_11302_11572_12422_12920_12921_12961_13078,type 1 diabetes mellitus
5148,type 2 diabetes mellitus
5619,typhoid fever
1246,typhus
10162_10160_10161_4741,tyrosinemia
5101,ulcerative colitis (disease)
15667,unclassified acute myeloid leukemia
18533,undifferentiated carcinoma of liver and intrahepatic biliary tract
16267,undifferentiated carcinoma of the corpus uteri
5263,unipolar depression
5398,upper aerodigestive tract neoplasm
5297,urethritis (disease)
1187,urinary bladder cancer
4986,urinary bladder carcinoma
4987,urinary bladder neoplasm
4114,urinary bladder small cell neuroendocrine carcinoma
5492,urticaria (disease)
6003,uterine corpus cancer
20283_6651,uveitis
2234,vaginitis (disease)
8638,varicose disease
5385,vascular disease
6004,vasomotor rhinitis
945,venous insufficiency (disease)
190,ventricular fibrillation (disease)
5477,ventricular tachycardia
19085,vernal keratoconjunctivitis
18734,verrucous hemangioma
7015,viral meningitis
5445,visceral leishmaniasis
1386,visual epilepsy
7016,vitamin A deficiency (disease)
20696,vitamin B12 deficiency
8661,vitiligo
8668_13304_10191_15628_15629_15630_15631,von Willebrand disease
24574,von Willebrand disease (hereditary or acquired)
6014,vulvovaginal candidiasis
1827,white piedra
15803,wound botulism
948,xerophthalmia
5744,yolk sac tumor
